"show_1","show_2","distance"
"No Game, No Life","Sword Art Online II","0.299655135347937"
"Sword Art Online II","Code Geass: Lelouch of the Rebellion R2","0.51894634436869"
"Code Geass: Lelouch of the Rebellion R2","Sword Art Online II","0.51894634436869"
"Sword Art Online II","Death Note","0.500290452495508"
"Death Note","Sword Art Online II","0.500290452495508"
"Sword Art Online II","Attack on Titan","0.357943287066435"
"Attack on Titan","Sword Art Online II","0.357943287066435"
"Sword Art Online II","Soul Eater","0.582679875323415"
"Soul Eater","Sword Art Online II","0.582679875323415"
"Sword Art Online II","Elfen Lied","0.552576191908756"
"Elfen Lied","Sword Art Online II","0.552576191908756"
"Sword Art Online II","One Punch Man","0.374911631361126"
"One Punch Man","Sword Art Online II","0.374911631361126"
"Sword Art Online II","The Future Diary","0.415847262438363"
"The Future Diary","Sword Art Online II","0.415847262438363"
"Sword Art Online II","Fullmetal Alchemist","0.613479846442678"
"Fullmetal Alchemist","Sword Art Online II","0.613479846442678"
"Sword Art Online II","Gurren Lagann","0.567559144692914"
"Gurren Lagann","Sword Art Online II","0.567559144692914"
"Sword Art Online II","Angel Beats!","0.425545605789105"
"Angel Beats!","Sword Art Online II","0.425545605789105"
"Sword Art Online II","Code Geass: Lelouch of the Rebellion","0.511520198583787"
"Code Geass: Lelouch of the Rebellion","Sword Art Online II","0.511520198583787"
"Blue Exorcist","Akame ga Kill!","0.444661568680529"
"Akame ga Kill!","Blue Exorcist","0.444661568680529"
"Blue Exorcist","Sword Art Online","0.33492583140257"
"Sword Art Online","Blue Exorcist","0.33492583140257"
"Blue Exorcist","Noragami: Stray God","0.380486414922691"
"Noragami: Stray God","Blue Exorcist","0.380486414922691"
"Blue Exorcist","No Game, No Life","0.411951544274702"
"No Game, No Life","Blue Exorcist","0.411951544274702"
"Blue Exorcist","Code Geass: Lelouch of the Rebellion R2","0.457662785978873"
"Code Geass: Lelouch of the Rebellion R2","Blue Exorcist","0.457662785978873"
"Blue Exorcist","Death Note","0.415735900981859"
"Death Note","Blue Exorcist","0.415735900981859"
"Blue Exorcist","Attack on Titan","0.347225059131369"
"Attack on Titan","Blue Exorcist","0.347225059131369"
"Blue Exorcist","Soul Eater","0.441387199241677"
"Soul Eater","Blue Exorcist","0.441387199241677"
"Blue Exorcist","Elfen Lied","0.490961847771894"
"Elfen Lied","Blue Exorcist","0.490961847771894"
"Blue Exorcist","One Punch Man","0.428577099959072"
"One Punch Man","Blue Exorcist","0.428577099959072"
"Blue Exorcist","The Future Diary","0.391535383021101"
"The Future Diary","Blue Exorcist","0.391535383021101"
"Blue Exorcist","Fullmetal Alchemist","0.511351142949269"
"Fullmetal Alchemist","Blue Exorcist","0.511351142949269"
"Blue Exorcist","Gurren Lagann","0.526420607457663"
"Gurren Lagann","Blue Exorcist","0.526420607457663"
"Blue Exorcist","Angel Beats!","0.39300775956599"
"Angel Beats!","Blue Exorcist","0.39300775956599"
"Blue Exorcist","Code Geass: Lelouch of the Rebellion","0.440456344278648"
"Code Geass: Lelouch of the Rebellion","Blue Exorcist","0.440456344278648"
"Akame ga Kill!","Sword Art Online","0.360161487537036"
"Sword Art Online","Akame ga Kill!","0.360161487537036"
"Akame ga Kill!","Noragami: Stray God","0.372437559093426"
"Noragami: Stray God","Akame ga Kill!","0.372437559093426"
"Akame ga Kill!","No Game, No Life","0.319479459589117"
"No Game, No Life","Akame ga Kill!","0.319479459589117"
"Akame ga Kill!","Code Geass: Lelouch of the Rebellion R2","0.520851194940939"
"Code Geass: Lelouch of the Rebellion R2","Akame ga Kill!","0.520851194940939"
"Akame ga Kill!","Death Note","0.509187821842975"
"Death Note","Akame ga Kill!","0.509187821842975"
"Akame ga Kill!","Attack on Titan","0.367851403707326"
"Attack on Titan","Akame ga Kill!","0.367851403707326"
"Akame ga Kill!","Soul Eater","0.575943665436218"
"Soul Eater","Akame ga Kill!","0.575943665436218"
"Akame ga Kill!","Elfen Lied","0.54876977421205"
"Elfen Lied","Akame ga Kill!","0.54876977421205"
"Akame ga Kill!","One Punch Man","0.373561953143053"
"One Punch Man","Akame ga Kill!","0.373561953143053"
"Akame ga Kill!","The Future Diary","0.401437357716688"
"The Future Diary","Akame ga Kill!","0.401437357716688"
"Akame ga Kill!","Fullmetal Alchemist","0.626103148110173"
"Fullmetal Alchemist","Akame ga Kill!","0.626103148110173"
"Akame ga Kill!","Gurren Lagann","0.562000478760476"
"Gurren Lagann","Akame ga Kill!","0.562000478760476"
"Akame ga Kill!","Angel Beats!","0.441366869353498"
"Angel Beats!","Akame ga Kill!","0.441366869353498"
"Akame ga Kill!","Code Geass: Lelouch of the Rebellion","0.515402351005923"
"Code Geass: Lelouch of the Rebellion","Akame ga Kill!","0.515402351005923"
"Sword Art Online","Noragami: Stray God","0.342063111634521"
"Noragami: Stray God","Sword Art Online","0.342063111634521"
